"samples" "sex" "species" "Site.ID" "Lat" "Long" "Site.Name" "Country" "Province" "Ocean.drainage" "Country_Ocean" "site.sub" "site.sub.county" "site.sub.county.drain" "pca1" "pca2" "pca3" "pca4" "pca5" "pca6" "assign"
"200" "STDMa06" "M" "titia" "STDM01" 15.82 -96.69 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "STDM" "STDM_Mexico" "STDM_Mexico_Pacific" -63.8482 -2.6719 -17.4339 22.7865 0.129771 -0.0151468 "3"
"201" "TN0101" "M" "titia" "TN01" 35.03 -89.35 "Wolf River" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" 18.9689 -18.6666 0.133544 -0.0461503 5.51316 0.0822735 "1"
"202" "TN0103" "M" "titia" "TN01" 35.03 -89.35 "Wolf River" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" 19.0417 -18.5506 -0.0890477 -0.0908161 5.75125 -0.0113008 "1"
"203" "TN0105" "M" "titia" "TN01" 35.03 -89.35 "Wolf River" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" 19.0346 -18.733 -0.035154 -0.165684 6.91475 0.00596524 "1"
"204" "TN0411" "M" "titia" "TN04" 36.55 -87.14 "Red River and Sulfur Fork" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" 19.1931 -19.3488 0.00917895 -0.0560472 -5.36965 -0.00604751 "1"
"205" "TN0423" "M" "titia" "TN04" 36.55 -87.14 "Red River and Sulfur Fork" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" 19.4629 -19.7111 0.0164399 -0.0970511 -5.16178 -0.271934 "1"
"206" "TN0425" "M" "titia" "TN04" 36.55 -87.14 "Red River and Sulfur Fork" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" 18.237 -18.6987 -0.151058 0.0114396 -5.13144 -0.222473 "1"
"207" "TN0427" "M" "titia" "TN04" 36.55 -87.14 "Red River and Sulfur Fork" "United States" "Tennessee" "Gulf" "Gulf_United States" "TN" "TN_United States" "TN_United States_Gulf" 19.0729 -19.5277 -0.0812084 -0.0828395 -7.235 0.414911 "1"
"208" "TULIa03" "M" "titia" "TULI01" 15.89 -93.5 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "TULI" "TULI_Mexico" "TULI_Mexico_Pacific" -56.4131 -1.75691 -12.906 -19.4977 -0.000466081 0.0576259 "3"
"209" "TULIa08" "F" "titia" "TULI01" 15.89 -93.5 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "TULI" "TULI_Mexico" "TULI_Mexico_Pacific" -62.3571 -2.53871 -13.6357 -22.8942 -0.20202 0.188078 "3"
"210" "TULIa09" "F" "titia" "TULI01" 15.89 -93.5 "" "Mexico" "Chiapas" "Pacific" "Pacific_Mexico" "TULI" "TULI_Mexico" "TULI_Mexico_Pacific" -61.9467 -2.77918 -13.0709 -23.4244 -0.194107 0.0165306 "3"
"211" "TXRSa02" "M" "titia" "TXRS01" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" 14.4788 27.6697 -0.133135 0.170187 -0.869384 -4.59791 "2"
"212" "TXRSa06" "M" "titia" "TXRS01" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" 13.8369 27.9243 -0.202546 0.0867112 -0.255511 -5.1258 "2"
"213" "TXRSb01" "M" "titia" "TXRS02" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" 14.2138 27.1059 -0.0637398 0.0862132 -0.962507 -5.94379 "2"
"214" "TXRSb03" "M" "titia" "TXRS02" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" 13.8833 25.4615 -0.102098 0.0399162 1.52251 -1.67981 "2"
"215" "TXRSb05" "M" "titia" "TXRS02" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" 14.2986 26.9005 -0.0552534 0.167981 -0.978868 -1.53474 "2"
"216" "TXRSb07" "M" "titia" "TXRS02" 16.65 -93.16 "" "Mexico" "Chiapas" "Gulf" "Gulf_Mexico" "TXRS" "TXRS_Mexico" "TXRS_Mexico_Gulf" 14.3096 27.9153 0.0576693 0.199568 -0.598573 -2.36129 "2"
"217" "WCKCa01" "M" "titia" "WCKC1" 31.05 -90.17 "Kirklin Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "WCKC" "WCKC_United States" "WCKC_United States_Gulf" 19.1067 -18.1456 -0.202813 -0.110445 8.02002 0.252451 "1"
"218" "WCKCa02" "M" "titia" "WCKC1" 31.05 -90.17 "Kirklin Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "WCKC" "WCKC_United States" "WCKC_United States_Gulf" 17.7119 -16.5662 0.0730623 0.0316442 7.44537 -0.285164 "1"
"219" "WCKCa03" "M" "titia" "WCKC1" 31.05 -90.17 "Kirklin Creek" "United States" "Mississippi" "Gulf" "Gulf_United States" "WCKC" "WCKC_United States" "WCKC_United States_Gulf" 18.1303 -17.4171 -0.00140456 -0.0756901 8.54024 0.135825 "1"
"220" "ZANAa04" "M" "titia" "ZANA01" 16.45 -94.34 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "ZANA" "ZANA_Mexico" "ZANA_Mexico_Pacific" -64.634 -2.52195 -13.811 -19.371 -0.0338027 -0.147251 "3"
"221" "ZANAa06" "M" "titia" "ZANA01" 16.45 -94.34 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "ZANA" "ZANA_Mexico" "ZANA_Mexico_Pacific" -61.9493 -2.41813 -14.7795 -23.0867 -0.170146 -0.115007 "3"
"222" "ZANAa07" "M" "titia" "ZANA01" 16.45 -94.34 "" "Mexico" "Oaxaca" "Pacific" "Pacific_Mexico" "ZANA" "ZANA_Mexico" "ZANA_Mexico_Pacific" -64.7211 -2.43217 -14.3362 -24.2678 -0.143451 -0.126686 "3"
